,place_id,location_name,latitude,longitude,diesel,premium,regular
32,10032,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.948,25.47195,,22.89,20.99
33,10033,E.S.G.E.S. S.A DE C.V,-90.53315,19.82289,23.19,22.99,21.69
34,10034,MARIO LUIS TORRES DE LIRA,-99.66096,19.2899,,21.99,20.19
35,10035,BURGOS PLUS GASOLINERAS S.A. DE C.V.,-98.28484,26.07834,,19.28,16.68
36,10036,"Hidrocarburos La Marquesilla, S.A. de C.V.",-95.25745,18.00725,21.8,21.95,20.55
37,10037,SINERGIA DE ENERGETICOS S.A. DE C.V. ,-98.22664,19.05175,21.89,22.39,20.19
38,10038,SAMUEL CHAVEZ VILLALOBOS,-105.7062,26.94272,22.8,22.9,20.8
39,10039,"GASOLINERA FOS IDOLITOS, SA DE CV.",-97.65946,20.88591,21.99,,20.75
40,10040,JESUS JOSE GONZALEZ MONTAÑEZ,-101.9785,22.26756,22.23,23.5,21.35
41,10041,Combustibles y Lubricantes Chontal SA de CV,-95.61476,15.97957,22.99,22.95,21.27
42,10042,ESTACION DE SERVICIO LA RESURRECCION S.A. DE C.V.,-98.15562,19.0603,21.43,21.75,19.65
43,10043,ENERGIA FATIMA SA DE CV,-103.4309,20.74139,,21.99,19.79
44,10044,"SERVICIO LAS TORRES, S.A DE C.V.",-102.9986,23.27974,21.99,22.79,20.99
45,10045,AUTO SERVICIO LA ESTANCIA S. A. DE C.V.,-103.6854,19.2345,22.39,22.6,20.92
46,10046,Servicio Castellana SA de CV,-98.86344,19.34276,20.99,21.85,19.85
47,10047,GASOLINERA URUAPAN SA DE CV,-102.0337,19.41691,20.03,19.36,19.19
48,10048,SUPER SERVICIOS SANTA ANA S A DE C V,-102.5476,19.16984,24.44,24.59,22.77
49,10049,ESTACION DE SERVICIO TEOJOMULCO S.A. DE C.V.,-97.23229,16.58627,22.98,,21.89
50,10050,Comercializadora Kayro SA de CV,-95.19369,18.43686,21.55,21.95,20.55
51,10051,AUTO SERVICIO COMERCIAL BACHICUY SA DE CV,-109.5156,31.31834,21.39,20.54,16.89
52,10052,"SERVICIO CERRO GORDO, S.A. DE C.V.",-99.05339,19.5469,21.69,22.99,20.79
53,10053,SERVICIO TEPEACA S.A. DE C.V.,-97.90289,18.9769,21.13,21.72,19.75
54,10054,"ESTACION PIRU, S.A. DE C.V.",-109.9296,27.48241,21.69,22.83,19.37
55,10055,Gasolineras las Adelitas S.A. de C.V.,-98.75463,19.70175,,22.1,20.6
56,10056,GASOLINERA Y SERVICIOS RIO HUMAYA SA DE CV,-107.4079,24.8329,22.35,23.99,22.99
57,10057,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.3858,25.74801,,23.79,21.93
58,10058,IRMA ELOISA NAVA REYES,-97.73738,21.31133,22.8,20.41,20.81
59,10059,Operadora Nextremor S.A. de C.V.,-99.08971,19.74194,21.09,21.99,19.59
60,10060,"Estación 0231, S.A. de C.V. ",-99.10651,19.63547,,21.99,19.99
61,10061,GASOLEDAD S.A. DE C.V.,-100.9291,22.18957,22.8,22.15,19.99
62,10062,"SERVICIO GARLO, S.A. DE C.V.",-100.8303,19.8561,,22.57,20.5
63,10063,GASOLINERA LA CAPACHA SA DE CV,-103.4217,20.54256,18.6,18.1,17.99
64,10064,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-93.89707,16.23467,,22.5,20.99
65,10065,"ESTACION DE SERVICIO MADERO, SA DE CV.",-97.87581,22.32658,20.85,21.25,19.35
66,10066,ORALIA ADAME GONZALEZ,-107.4756,29.03936,22.55,,20.74
67,10067,Super Servicio El Cortijo SA de CV,-99.20643,20.47146,20.59,21.15,19.09
68,10068,"GASOLINERA EL DIAMANTE, S.A. DE C.V.",-100.9,18.65971,23.35,23.25,22.15
69,10069,"COMERCIALIZADORA DE HIDROCARBUROS DE LEÓN, S.A. DE C.V.",-101.6244,21.1384,18.99,18.39,17.25
70,10070,GARZE COMBUSTIBLES SA DE CV,-99.12599,23.73693,,22.14,20.54
71,10071,"GASOLINERA FOS CERRO AZUL, SA DE CV.",-97.74355,21.18484,21.83,21.92,20.91
72,10072,SERVICIO NUEVA ESPAÑA SA DE CV,-103.3924,20.61692,19.49,20.99,19.19
73,10073,"Servicio Telix, S.A. de C.V.",-99.00348,19.38761,,22.49,20.49
74,10074,"Servicio 1 de Mayo, S.A. de C.V.",-99.05937,19.78861,20.99,21.99,19.49
75,10075,SERVICIO LOS DELFINES SA DE CV,-103.4254,20.74036,20.69,21.99,19.79
76,10076,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.09904,19.37263,22.29,23.09,21.59
77,10077,"SERVIGAZ GONZALITOS, S.A. DE C.V.",-100.3511,25.6974,,22.39,20.89
78,10078,"RGA SERVIGAZ, S.A. DE C.V.",-100.2934,25.69955,21.77,22.13,19.99
79,10079,ROSARIO HERNANDEZ RODRIGUEZ,-99.9035,20.23039,21.19,21.8,20.22
80,10080,E.S.G.E.S. S.A DE C.V,-91.82518,18.63151,22.99,22.99,20.99
81,10081,SERVICIOS EL PALMAR VERDE SA DE CV,-107.4754,24.87527,21.54,22.84,21.39
82,10082,ANA BERTHA GUERRA HINOJOSA,-97.8144,25.66792,21,,19
83,10083,"GRUPO ENER GAS, S.A. DE C.V.",-99.19606,18.93579,21.61,21.99,20.09
84,10084,Gasolinera Agricola S.A. de C.V.,-108.2612,31.13653,20.76,,19.35
85,10085,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2495,25.58971,21.88,23.79,21.93
86,10086,OSCAR ISAURO LOPEZ ROMERO,-92.55905,16.33738,22.82,,22.5
87,10087,"INTEGRANTES DEL EJIDO DE SAN CRISTOBAL TEXCALUCAN,",-99.29964,19.41413,21.95,22.95,21.39
88,10088,"SERVICIO EXPRESS COYOTEPEC, S.A. DE C.V. ",-99.18074,19.79166,21.49,21.99,20.09
89,10089,HR SOL SERVICIOS ADMINISTRATIVOS FONDO 3 S.A DE C.V.,-98.97277,19.83909,21.99,22.49,20.59
90,10090,"GASOLINERA REFORMA, SA DE CV",-116.9813,32.51508,20.69,21.69,19.89
91,10091,"SERVICIO REGIO CUATRO, S.A. DE C.V.",-93.3137,18.26939,21.89,18.6,21.09
92,10092,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2328,25.69572,21.88,23.79,21.93
93,10093,"GASOLINERA LOS PRIMOS POBLANA, S.A. DE C.V.",-98.16482,19.08311,,21.4,19.55
94,10094,PARADOR LOS MEZQUITES S.A. DE C.V.,-105.9388,28.52793,21.98,22.97,20.88
95,10095,GASOLINERAS SURMEX SA DE CV ,-97.58728,19.88164,21.43,22.05,20.18
96,10096,Combustibles Yañez SA de CV,-96.1678,19.18927,20.69,20.28,19.37
97,10097,"MULTISERVICIOS ANAHUAC, S.A. DE C.V.",-97.77749,25.77541,20.98,,17.59
98,10098,E.S.G.E.S. S.A DE C.V,-92.86486,18.11396,22.09,22.19,20.29
99,10099,"PISA COMBUSTIBLES, S.A. DE C.V.",-98.12947,19.39304,,21.75,19.75
100,10100,Servicio Candedo SA de CV,-99.06898,19.53164,21.55,22.09,19.95
101,10101,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.4762,25.67752,21.88,23.69,21.89
102,10102,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.3718,25.67489,,23.79,21.89
103,10103,COMBUSTIBLE LA ESTANCIA S.A. DE C.V.,-103.7583,19.24521,22.85,22.59,20.59
104,10104,LILIANA CARMONA GUERRERO,-98.77985,18.75744,21.9,,20.45
105,10105,Servicio Grillos SA de CV,-99.63487,19.31297,20.99,21.79,19.65
106,10106,GASOLINERIA DOÑA PURE SA DE CV,-99.82116,20.70161,21.15,21.92,19.95
107,10107,ANDRES CRUZ JARAMILLO,-100.2465,19.0665,23.39,23.49,21.69
108,10108,"SERVICIO GASA, S. A. DE C. V.",-100.3023,25.74002,,22.15,20.44
109,10109,"SERVICIO ARCHUNDIA, S. A. DE C. V.",-99.61205,19.98336,22.23,22.61,21.2
110,10110,Gasolineria el rosario S.A. de C.V.,-99.22205,20.10227,21.61,22.06,20.3
111,10111,SERVICIO 3 ESTRELLAS Y S.A. DE C.V.,-98.22694,19.16636,21.2,21.95,19.35
112,10112,SERVICIO TEPEACA S.A. DE C.V.,-97.90143,18.95654,21.13,21.72,19.75
113,10113,"SERVICIO GIRASOLES DEL SUR, S.A. DE C.V.",-98.40276,18.60821,21.99,22.44,20.77
114,10114,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.17908,18.85037,22.19,,20.69
115,10115,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-103.3572,20.67516,,23.39,21.39
116,10116,CARLOS HERNAN FIGUEROA MARTINEZ,-88.18704,18.94394,23.14,23.44,21.72
117,10117,"Servicio Industrial Umán, S.A de C.V",-89.70283,20.91687,22.51,22.46,20.96
118,10118,"ESTACION DE SERVICIO HANDALL, S.A. DE C.V.",-88.31246,18.53057,21.09,21.19,19.99
119,10119,SERVICIO DEMOCRACIA SA DE CV,-99.15569,23.72552,,22.59,21.15
120,10120,ALBERTO RAMIREZ TORRES,-98.21362,19.02517,,21.75,19.68
121,10121,GASOLINERA PLATON SANCHEZ S.A. DE C.V.,-98.3709,21.27385,22.6,22.88,21.2
122,10122,YSYGUIEL PEÑA CHAIDEZ,-107.1535,24.49964,21.18,22.5,20.05
123,10123,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-101.6581,21.13041,21.98,23.55,20.75
124,10124,ESTACION DE SERV. AUTOP. MEXICO PUEBLA S.A. DE C.V,-98.23159,19.09754,21.5,21.99,19.9
125,10125,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-103.4314,25.56274,,22.99,20.69
126,10126,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2813,25.62226,21.88,23.79,21.93
127,10127,COMBUSTIBLES Y LUBRICANTES DE CUAUHTEMOC S A DE C ,-103.8102,24.28775,22,,20.67
128,10128,SERVICIO SAN FRANCISCO DEL MEZQUITAL S.A. DE C.V.,-104.3873,23.48203,22,,20.6
129,10129,MULTISERVICIOS ESPECIALIZADOS MORITA S.A. DE C.V.,-102.2939,22.14736,22.19,22.95,21.37
130,10130,"ESTACION DE SERVICIO EL JACAL, S.A. DE C.V.",-100.0853,19.4018,22.19,22.54,20.99
131,10131,Servicio Coaxal S.A. de C.V.,-97.00097,19.41887,22.49,22.58,20.98
132,10132,"TEN GAS, S. A. DE C. V.",-97.11317,18.84073,21.74,21.89,20.34
133,10133,SERVICIO RAMOS SA DE CV,-89.74234,20.88977,22,22.15,20.6
134,10134,HIDROCARBUROS EL CAMINO S.A. DE C.V.,-95.83135,18.33636,22.1,22.12,20.52
135,10135,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.3897,25.80798,21.88,23.79,21.93
136,10136,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.16377,19.3505,,23.29,21.79
137,10137,GASOLINERA GOMO SA DE CV,-109.9398,27.44366,,22.99,20.69
138,10138,"Hidrocarburos La Marquesilla, S.A. de C.V.",-95.25892,18.00674,21.8,21.95,20.55
139,10139,ESTACION DE SERVICIO AYUTLA SA DE CV,-99.25504,16.99312,22.99,23.32,21.95
140,10140,SAMUEL CHAVEZ VILLALOBOS,-105.6396,26.93616,22.8,22.9,20.8
141,10141,GASOLINERA MIRAMONTES DE MOMAX SUCESORES S DE RL DE CV ,-103.3111,21.93075,22.2,22.5,21.2
142,10142,"AEROGAS DE SAN LUIS, SA DE CV",-100.1652,22.86672,21.54,22.74,20.69
143,10143,Mordup Combustibles S.A. de C.V.,-99.38654,19.6508,20.89,21.79,19.79
144,10144,SERVICIO 3 ESTRELLAS Y S.A. DE C.V.,-98.2383,19.18879,,21.75,19.6
145,10145,SERVICIO ACAPULCO  DIAMANTE  S.A. DE C.V. ,-99.86656,16.87346,21.95,22.35,21.1
146,10146,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.9993,25.40418,,22.89,19.99
147,10147,E.S.G.E.S. S.A DE C.V,-92.63849,18.53543,22.45,22.25,20.68
148,10148,TEUTILA ORANTES RUIZ,-92.66661,15.30016,21.44,21.59,20.36
149,10149,"GASOLINERA FOY CABO ROJO, SA DE CV.",-97.44563,21.27712,20.13,22.85,21.18
150,10150,GASOLINERA OMEGA MATEHUALA I SA DE CV,-100.6078,23.61633,22.48,23.6,21.74
151,10151,"SUPER S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.3712,31.62663,,17.75,15.45
152,10152,MULTISERVICIO OBREGON S.A. DE C.V.,-106.9077,28.75064,18.3,17.8,20.55
153,10153,E.S.G.E.S. S.A DE C.V,-91.49331,18.78838,22.94,22.94,21.59
154,10154,MULTISERVICIOS MILCUMBRES S.A. DE C.V. ,-101.1205,19.68754,21.98,22.98,20.7
155,10155,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.1807,25.7447,,23.79,21.93
156,10156,SUPER SERVICIO POZA RICA SA,-97.47133,20.53428,15.95,16.83,15.13
157,10157,EDUARDO PERALTA ENCINAS,-110.9743,29.11219,,23,20.28
158,10158,"COMERCIALIZADORA DHEM, S.A. DE C.V.",-98.2063,19.00437,,21.39,19.59
159,10159,JOSE MAURICIO NUÑEZ MARTINEZ,-117.0404,32.53925,,20.65,18.69
160,10160,HUGO ALBERTO GALVAN GARCIA,-98.14226,24.85899,21,,21
161,10161,Combustibles y Lubricantes Cazones SA de CV,-97.31071,20.70155,22.2,,21.35
162,10162,"AUTOSERVICIO TAXIMAROA, S.A. DE C.V.",-100.522,19.68605,22.5,23,21
163,10163,"Fonatur Tren Maya, S. A. de C. V.",-110.8843,27.92268,22.67,,21.96
164,10164,"Gasolinera Tlatlauqui, S.A. de C.V.",-97.49754,19.8456,21.61,21.55,19.99
165,10165,"COMBUSTIBLES LA POCHOTA, S.A. DE C.V.",-96.12211,18.24506,21.65,,20.48
166,10166,OPERADORA JOVEL SA DE CV,-92.62827,16.71666,21.75,21.79,20.14
167,10167,SAMUEL CHAVEZ VILLALOBOS,-105.6718,26.91738,22.8,22.9,20.8
168,10168,E.S.G.E.S. S.A DE C.V,-88.32508,18.51884,21.49,21.39,19.99
169,10169,GONBRIZ SA DE CV,-102.3712,18.52229,21.19,,20.09
170,10170,"Servicio El Sauz Amarillo AG, S.A. de C.V.",-101.928,21.33748,,22.68,20.76
171,10171,Servicios Ecológicos Chichen Itza S.A. de C.V.,-103.4432,20.59072,,22.19,19.64
172,10172,E.S.G.E.S. S.A DE C.V,-91.99704,17.51505,21.59,21.49,19.99
173,10173,"GASOLINERA MASTER, S.A. DE C.V.",-98.1561,19.05304,,21.4,19.55
174,10174,"Servicio del Nordeste, S.A. de C.V.",-97.50996,25.83519,,17.29,16.29
175,10175,"SUPER SERVICIO HUANIQUEO, S.A. DE C.V.",-101.5083,19.88701,22.92,23.23,21.3
176,10176,BURGOS PLUS GASOLINERAS S.A. DE C.V.,-98.29169,26.06993,21.69,19.28,16.68
177,10177,NESTOR RODRIGUEZ DOMINGUEZ,-99.52849,18.36517,22.9,23.1,22.1
178,10178,GrupoGarivedeMexicoDistribuidoradePetroliferosSACV,-98.92046,19.28675,,21.99,19.79
179,10179,"Gomalva, S.A. de C.V. ",-98.88277,19.27393,20.99,21.99,19.99
180,10180,"AUTOSERVICIO ARBUSTO, S.A. DE C.V.",-99.72745,19.2539,22.29,22.39,20.39
181,10181,SERVICIO COLIMAN SA DE CV,-103.7233,19.2294,20.95,21.79,19.89
182,10182,"GASOLINERA BORJA, S.A DE C.V.",-110.1167,27.46383,22.1,22.4,20.59
183,10183,GASBEL LA PLAYA S.A DE C.V.,-97.34456,20.9577,,22.69,20.75
184,10184,E.S.G.E.S. S.A DE C.V,-90.53039,19.86245,,,15.59
185,10185,Combustibles y Lubricantes Ayotoxco SA de CV,-97.39963,20.09914,22.15,,20.85
186,10186,JOSE MANUEL JAVIER CERVANTES LOPEZ,-98.24053,19.20909,21.1,21.85,19.6
187,10187,COMBUSTIBLES VELARDE ESPINOZA SA DE CV,-108.981,25.78401,,23.7,21.65
188,10188,E.S.G.E.S. S.A DE C.V,-94.55573,18.00373,22.19,21.64,19.99
189,10189,"ESTACION DE SERVICIO LAJA, SA DE CV",-100.7749,20.71585,21.83,22.19,19.99
190,10190,E.S.G.E.S. S.A DE C.V,-90.49567,19.83147,22.99,22.99,21.57
191,10191,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-99.97034,25.60012,,23.19,20.99
192,10192,CARLOS ROMEO HERRERA OROPEZA,-97.37515,20.05608,23.3,,21.69
193,10193,"Combustibles y Lubricantes Poliforum, S.A de C.V",-89.59229,20.94455,22.51,22.46,20.96
194,10194,HOMERO AYUP ROMERO,-103.3964,25.53258,20.26,21.39,19.19
195,10195,Servicio Tren  SA de CV,-98.96363,19.35409,20.79,21.79,19.79
196,10196,GASOLINERA LA GRULLITA S.A DE C.V ,-114.8213,32.43367,20.9,18.89,16.89
197,10197,MOMA COMBUSTIBLES S.A. DE C.V.,-96.00312,18.11319,19.05,0.01,16.95
198,10198,"AUTOSERVICIO TONALA, S.A. DE C.V.",-103.222,20.67047,22.56,22.98,20.99
199,10199,"COMBUSTIBLES AMECAMECA, S.A. DE C.V.",-98.77611,19.11202,20.99,21.69,19.99
200,10200,MYRNA ELIZABETH CABANILLAS CARRILLO,-107.9059,25.05481,20.49,22.65,19.89
201,10201,GASOMAX S.A. DE C.V.,-110.9627,29.04776,22.79,22.99,21.19
202,10202,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.1885,25.64812,,21.98,19.34
203,10203,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",-114.7494,32.47347,,19.69,17.29
204,10204,"MULTISERVICIOS DZILBACHEN, S.A. DE C.V.",-89.74046,19.457,23.29,,21.99
205,10205,HR SOL SERVICIOS ADMINISTRATIVOS FONDO 3 S.A DE C.V.,-98.97367,19.84828,,22.49,20.59
206,10206,"SERVICIO CIRCULO GL, S.A. DE C.V.",-109.9295,27.49938,21.59,22.35,19.45
207,10207,JOSE JAIME CASTELLANOS FLORES,-102.9283,20.46415,22.3,23.2,21.65
208,10208,IMPULSORA ALLENDE SA DE CV,-97.85371,22.21785,,21.87,20.53
209,10209,SERVICIO LAAG SA DE CV,-98.31796,26.10083,21.45,18.65,16.7
210,10210,MULTISERVICIOS ESPECIALIZADOS MORITA S.A. DE C.V.,-102.2407,21.57786,21.85,22.99,21.35
211,10211,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2436,25.77774,,23.79,21.93
212,10212,"TEN GAS, S. A. DE C. V.",-97.08079,18.85808,21.74,21.89,20.34
213,10213,"NEPSOL, S.A. DE C.V.",-99.16246,19.29019,,22.59,20.48
214,10214,JOSE CARLOS ABRAHAM CERVANTES LOPEZ,-97.92017,19.31679,20.99,21.99,19.89
215,10215,"Ener Lago, S.A. de C.V. ",-98.88925,19.26167,20.69,21.84,18.99
216,10216,SUPER SERVICIO ENRIQUEZ S.A. DE C.V.,-96.37971,19.4351,20.6,21.15,19.5
217,10217,BURGOS PLUS GASOLINERAS S.A. DE C.V.,-98.27804,26.02945,,18.97,16.68
218,10218,SERVICIOS EL PALMAR VERDE SA DE CV,-107.4395,24.77879,21.59,22.64,19.99
219,10219,"ESTACION PIRU, S.A. DE C.V.",-107.4256,24.78963,,22.99,19.69
220,10220,COMBUSTIBLES Y LUBRICANTES HANDALL SA DE CV (8301),-88.39508,18.6849,22.99,23.29,21.57
221,10221,"DOS OCEANOS PASO DEL TORO, S.A. DE C.V.",-96.13466,19.02382,21.52,19.25,18.55
222,10222,XAVIER DE LEON REYES,-101.7161,22.62461,21.84,,20.68
223,10223,"SERVICIO PANTEPEC, S.A. DE C.V. ",-97.66768,20.9026,21.99,,20.79
224,10224,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.03989,19.50469,,23.09,21.59
225,10225,COMBUSTIBLES VELARDE ESPINOZA SA DE CV,-108.99,25.78974,22.25,23.7,21.65
226,10226,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.1821,25.65578,21.89,22.98,20.99
227,10227,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2964,25.759,,23.79,21.93
228,10228,SERVICIOS ARGUELLES SA DE CV,-98.46695,26.18701,21.45,18.65,16.7
229,10229,"Ecategas, S.A. de C.V. ",-99.00269,19.62115,20.99,21.99,19.99
230,10230,"EL CALLEJON DE MORELOS, S.A. DE C.V.",-102.7838,20.34745,22.29,23.08,21.69
231,10231,"Estación de Servicio Siderúrgica, S.A de C.V",-89.62885,21.04436,22.51,22.46,20.96
232,10232,Grupo Pizano sa de cv ,-100.5031,19.95744,21.39,21.99,20.99
233,10233,Gasolineria Montevideo SA de CV,-99.13651,19.49122,,22.69,20.89
234,10234,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.26897,19.8347,22.19,21.99,20.59
235,10235,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2669,25.78467,,23.79,21.93
236,10236,Municipio de Tepeapulco,-98.58078,19.77778,21.5,,20.3
237,10237,"GASOLINERA CARBEL, SA DE CV",-107.3649,24.80084,19.99,22.19,19.79
238,10238,ESTACION ARLO SA DE CV,-98.22478,25.44794,20.3,17.49,18.97
239,10239,JOSE AQUILES GARZA FLORES,-99.51806,27.4645,16.54,18.18,18.45
240,10240,ESTACION EL MOLINO DE ORO SA DE CV,-103.5082,20.335,21.5,22.9,20.95
241,10241,IRMA ELOISA NAVA REYES,-97.6864,21.34854,,,20.81
242,10242,JAVIER MACIAS RAMIREZ,-102.84,21.6,23.08,,21.82
243,10243,CENTRAL DE COMBUSTIBLES RCP SA DE CV ,-92.95954,18.10649,19.92,21.62,19.5
244,10244,SERVICIOS MARA DEL NOROESTE S.A. DE C.V.,-109.9073,27.46514,22.3,22.99,20.29
245,10245,OPERATIVA LOPEZ S.A. DE C.V.,-97.72391,18.87862,16.89,17.65,16.1
246,10246,GILBERTO RIVERA MARTINEZ,-101.1438,19.72362,20.99,21.99,19.79
247,10247,Mordup Combustibles S.A. de C.V.,-99.40586,19.63969,20.89,21.79,19.79
248,10248,E.S.G.E.S. S.A DE C.V,-88.31935,18.52525,21.49,21.39,19.99
249,10249,"GASOLINERA RIZO DE ORO, S.A. DE C.V.",-94.07461,16.47589,21.52,22.1,21.8
250,10250,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-103.3536,20.67704,,23.29,21.39
251,10251,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-101.0011,25.40044,,22.89,19.99
252,10252,ESTACION DE SERVICIOS SAN GUILLERMO S.A. DE C.V.,-98.93287,18.98023,21.99,22.5,20.69
253,10253,SERVICIO 3 ESTRELLAS Y S.A. DE C.V.,-98.16471,19.41283,21.29,21.78,19.68
254,10254,"SERVIGAZ COLON, S.A. DE C.V.",-100.287,25.68344,21.77,22.13,19.99
255,10255,"Servicio Gasolinero Santa Julia, S.A. de C.V. ",-98.76115,20.11505,,21.39,19.39
256,10256,SERVICIOS GASOLINEROS LOS AHIJADOS SA DE CV ,-99.38175,25.75283,21.91,22.71,20.89
257,10257,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-99.01943,19.34613,,23.19,21.69
258,10258,SERVICIO 3 ESTRELLAS Y S.A. DE C.V.,-98.17747,19.38843,21.29,21.78,19.68
259,10259,IVAN DE JESUS FONSECA ROBLES,-105.4548,22.39064,22.4,22.65,20.85
260,10260,E.S.G.E.S. S.A DE C.V,-88.29958,18.51959,21.49,21.39,19.99
261,10261,VALORES ENERGETICOS SA DE CV,-99.25703,18.72521,22.29,22.82,20.84
262,10262,ESTACION DE SERVICIO PUNGARABATO SA DE CV,-100.6909,18.33103,23.13,23.65,21.92
263,10263,"SERVICIO LA HERRADURA, S.A. DE C.V.",-101.6095,20.21532,22.81,22.7,20.99
264,10264,ADVANCE GASOLINAS SA DE CV,-103.3941,20.64225,,21.85,19.9
